source,target,relationship_type,weight,source_label,target_label,entries
74234-0030,74234-0024,grandchild,1,Quitéria Maria da Assunção,Manuel,74234-0004-01
74234-0031,74234-0024,godchild,1,Manuel Raposo de Vasconcelos,Manuel,74234-0004-01
74234-0032,74234-0039,godparent,1,Bernardo,Jerónimo José Vicente,74234-0004-01
74234-0032,74234-0040,godparent,1,Bernardo,Antónia Teresa da Conceição,74234-0004-01
74234-0032,74234-0033,parent,1,Bernardo,Bernardo Lisbonca Coelho,74234-0004-01
74234-0032,74234-0034,parent,1,Bernardo,Clara Rangel de Azeredo,74234-0004-01
74234-0032,74234-0035,grandparent,1,Bernardo,Bernardo da Fonseca Coelho,74234-0004-01
74234-0032,74234-0036,grandparent,1,Bernardo,Escolástica Maria de Lisbonca,74234-0004-01
74234-0032,74234-0037,grandparent,1,Bernardo,José Leal dos Reis,74234-0004-01
74234-0032,74234-0038,grandparent,1,Bernardo,Maria Rangel,74234-0004-01
74234-0033,74234-0034,spouse,1,Bernardo Lisbonca Coelho,Clara Rangel de Azeredo,74234-0004-01
74234-0033,74234-0032,child,1,Bernardo Lisbonca Coelho,Bernardo,74234-0004-01
74234-0034,74234-0033,spouse,1,Clara Rangel de Azeredo,Bernardo Lisbonca Coelho,74234-0004-01
74234-0034,74234-0032,child,1,Clara Rangel de Azeredo,Bernardo,74234-0004-01
74234-0035,74234-0036,spouse,1,Bernardo da Fonseca Coelho,Escolástica Maria de Lisbonca,74234-0004-01
74234-0035,74234-0032,grandchild,1,Bernardo da Fonseca Coelho,Bernardo,74234-0004-01
74234-0036,74234-0035,spouse,1,Escolástica Maria de Lisbonca,Bernardo da Fonseca Coelho,74234-0004-01
74234-0036,74234-0032,grandchild,1,Escolástica Maria de Lisbonca,Bernardo,74234-0004-01
74234-0037,74234-0038,spouse,1,José Leal dos Reis,Maria Rangel,74234-0004-01
74234-0037,74234-0032,grandchild,1,José Leal dos Reis,Bernardo,74234-0004-01
74234-0038,74234-0037,spouse,1,Maria Rangel,José Leal dos Reis,74234-0004-01
74234-0038,74234-0032,grandchild,1,Maria Rangel,Bernardo,74234-0004-01
74234-0039,74234-0032,godchild,1,Jerónimo José Vicente,Bernardo,74234-0004-01
74234-0040,74234-0032,godchild,1,Antónia Teresa da Conceição,Bernardo,74234-0004-01
74234-0041,74234-0046,godparent,1,Jerónimo,Manuel Cordeiro da Fonseca,74234-0004-02
74234-0041,74234-0042,parent,1,Jerónimo,José Morais,74234-0004-02
74234-0041,74234-0043,parent,1,Jerónimo,Antónia Maria Pimentel,74234-0004-02
74234-0041,74234-0044,grandparent,1,Jerónimo,Tomé Morais,74234-0004-02
74234-0041,74234-0045,grandparent,1,Jerónimo,Maria Frias,74234-0004-02
74234-0042,74234-0043,spouse,1,José Morais,Antónia Maria Pimentel,74234-0004-02
74234-0042,74234-0041,child,1,José Morais,Jerónimo,74234-0004-02
74234-0043,74234-0042,spouse,1,Antónia Maria Pimentel,José Morais,74234-0004-02
74234-0043,74234-0041,child,1,Antónia Maria Pimentel,Jerónimo,74234-0004-02
74234-0044,74234-0041,grandchild,1,Tomé Morais,Jerónimo,74234-0004-02
74234-0045,74234-0041,grandchild,1,Maria Frias,Jerónimo,74234-0004-02
74234-0046,74234-0041,godchild,1,Manuel Cordeiro da Fonseca,Jerónimo,74234-0004-02
74234-0047,74234-0053,godparent,1,João,João Gonçalves da Silva,74234-0004-02
74234-0047,74234-0048,parent,1,João,Francisco de Lemos Maciel,74234-0004-02
74234-0047,74234-0049,parent,1,João,Maria Soares de Borba,74234-0004-02
74234-0047,74234-0050,grandparent,1,João,Manuel de Lemos Maciel,74234-0004-02
74234-0047,74234-0051,grandparent,1,João,Inácio Soares,74234-0004-02
74234-0047,74234-0052,grandparent,1,João,Luzia da Trindade,74234-0004-02
74234-0048,74234-0049,spouse,1,Francisco de Lemos Maciel,Maria Soares de Borba,74234-0004-02
74234-0048,74234-0047,child,1,Francisco de Lemos Maciel,João,74234-0004-02
74234-0049,74234-0048,spouse,1,Maria Soares de Borba,Francisco de Lemos Maciel,74234-0004-02
74234-0049,74234-0047,child,1,Maria Soares de Borba,João,74234-0004-02
74234-0050,74234-0047,grandchild,1,Manuel de Lemos Maciel,João,74234-0004-02
74234-0051,74234-0052,spouse,1,Inácio Soares,Luzia da Trindade,74234-0004-02
74234-0051,74234-0047,grandchild,1,Inácio Soares,João,74234-0004-02
74234-0052,74234-0051,spouse,1,Luzia da Trindade,Inácio Soares,74234-0004-02
74234-0052,74234-0047,grandchild,1,Luzia da Trindade,João,74234-0004-02
74234-0053,74234-0047,godchild,1,João Gonçalves da Silva,João,74234-0004-02
74234-0054,74234-0055,custodian,1,Mamerto,José Francisco de Medeiros,74234-0005-01
74234-0054,74234-0056,godparent,1,Mamerto,Manuel José Francisco,74234-0005-01
74234-0054,74234-0278,godparent,1,Mamerto,Anna Maria Rosa,74234-0005-01
74234-0055,74234-0054,ward,1,José Francisco de Medeiros,Mamerto,74234-0005-01
74234-0056,74234-0278,spouse,1,Manuel José Francisco,Anna Maria Rosa,74234-0005-01
74234-0056,74234-0054,godchild,1,Manuel José Francisco,Mamerto,74234-0005-01
74234-0278,74234-0056,spouse,1,Anna Maria Rosa,Manuel José Francisco,74234-0005-01
74234-0278,74234-0054,godchild,1,Anna Maria Rosa,Mamerto,74234-0005-01
74234-0058,74234-0059,parent,1,Leonor,Félix José da Silva,74234-0005-02
74234-0058,74234-0204,parent,1,Leonor,Ana Rosa do Espírito Santo,74234-0005-02
74234-0058,74234-0060,godparent,1,Leonor,José Dias de Oliveira,74234-0005-02
74234-0058,74234-0061,godparent,1,Leonor,Luís,74234-0005-02
74234-0059,74234-0204,spouse,1,Félix José da Silva,Ana Rosa do Espírito Santo,74234-0005-02
74234-0059,74234-0058,child,1,Félix José da Silva,Leonor,74234-0005-02
74234-0204,74234-0059,spouse,1,Ana Rosa do Espírito Santo,Félix José da Silva,74234-0005-02
74234-0204,74234-0058,child,1,Ana Rosa do Espírito Santo,Leonor,74234-0005-02
74234-0060,74234-0058,godchild,1,José Dias de Oliveira,Leonor,74234-0005-02
74234-0061,74234-0058,godchild,1,Luís,Leonor,74234-0005-02
74234-0063,74234-0066,godparent,1,Maria,José Alves de Ávila,74234-0005-03
74234-0063,74234-0064,parent,1,Maria,Francisco das Chagas Moniz,74234-0005-03
74234-0063,74234-0065,parent,1,Maria,Anna Maria Correia,74234-0005-03
74234-0064,74234-0065,spouse,1,Francisco das Chagas Moniz,Anna Maria Correia,74234-0005-03
74234-0064,74234-0063,child,1,Francisco das Chagas Moniz,Maria,74234-0005-03
74234-0065,74234-0064,spouse,1,Anna Maria Correia,Francisco das Chagas Moniz,74234-0005-03
74234-0065,74234-0063,child,1,Anna Maria Correia,Maria,74234-0005-03
74234-0066,74234-0063,godchild,1,José Alves de Ávila,Maria,74234-0005-03
74234-0068,74234-0069,parent,1,Sebastião Inocente,Eulália da Silva Brandão,74234-0005-03
74234-0068,74234-0070,godparent,1,Sebastião Inocente,Antônio de Souza Rosa,74234-0005-03
74234-0069,74234-0068,child,1,Eulália da Silva Brandão,Sebastião Inocente,74234-0005-03
74234-0070,74234-0068,godchild,1,Antônio de Souza Rosa,Sebastião Inocente,74234-0005-03
74234-0073,74234-0074,parent,1,Feliciano,José Martins Pinheiro,74234-0006-00
74234-0073,74234-0075,parent,1,Feliciano,Rosária Maria,74234-0006-00
74234-0073,74234-0076,grandparent,1,Feliciano,Custódio José Pinheiro,74234-0006-00
74234-0073,74234-0077,grandparent,1,Feliciano,Maria do Couto,74234-0006-00
74234-0073,74234-0078,grandparent,1,Feliciano,Manuel da Lapa,74234-0006-00
74234-0073,74234-0079,grandparent,1,Feliciano,Clélia Maria,74234-0006-00
74234-0073,74234-0080,godparent,1,Feliciano,Francisco Dias,74234-0006-00
74234-0074,74234-0075,spouse,1,José Martins Pinheiro,Rosária Maria,74234-0006-00
74234-0074,74234-0073,child,1,José Martins Pinheiro,Feliciano,74234-0006-00
74234-0074,74234-0076,child,1,José Martins Pinheiro,Custódio José Pinheiro,74234-0006-00
74234-0074,74234-0077,child,1,José Martins Pinheiro,Maria do Couto,74234-0006-00
74234-0075,74234-0074,spouse,1,Rosária Maria,José Martins Pinheiro,74234-0006-00
74234-0075,74234-0073,child,1,Rosária Maria,Feliciano,74234-0006-00
74234-0075,74234-0078,child,1,Rosária Maria,Manuel da Lapa,74234-0006-00
74234-0075,74234-0079,child,1,Rosária Maria,Clélia Maria,74234-0006-00
74234-0076,74234-0077,spouse,1,Custódio José Pinheiro,Maria do Couto,74234-0006-00
74234-0076,74234-0074,parent,1,Custódio José Pinheiro,José Martins Pinheiro,74234-0006-00
74234-0076,74234-0073,grandchild,1,Custódio José Pinheiro,Feliciano,74234-0006-00
74234-0077,74234-0076,spouse,1,Maria do Couto,Custódio José Pinheiro,74234-0006-00
74234-0077,74234-0074,parent,1,Maria do Couto,José Martins Pinheiro,74234-0006-00
74234-0077,74234-0073,grandchild,1,Maria do Couto,Feliciano,74234-0006-00
74234-0078,74234-0079,spouse,1,Manuel da Lapa,Clélia Maria,74234-0006-00
74234-0078,74234-0075,parent,1,Manuel da Lapa,Rosária Maria,74234-0006-00
74234-0078,74234-0073,grandchild,1,Manuel da Lapa,Feliciano,74234-0006-00
74234-0079,74234-0078,spouse,1,Clélia Maria,Manuel da Lapa,74234-0006-00
74234-0079,74234-0075,parent,1,Clélia Maria,Rosária Maria,74234-0006-00
74234-0079,74234-0073,grandchild,1,Clélia Maria,Feliciano,74234-0006-00
74234-0080,74234-0073,godchild,1,Francisco Dias,Feliciano,74234-0006-00
74234-0081,74234-0083,godparent,1,Jacinta,Francisco Nova Gomes,74234-0006-01
74234-0081,74234-0084,godparent,1,Jacinta,Anna Joaquina,74234-0006-01
74234-0081,74234-0082,custodian,1,Jacinta,Félix de Proença Quintanilha,74234-0006-01
74234-0082,74234-0081,ward,1,Félix de Proença Quintanilha,Jacinta,74234-0006-01
74234-0083,74234-0081,godchild,1,Francisco Nova Gomes,Jacinta,74234-0006-01
74234-0084,74234-0081,godchild,1,Anna Joaquina,Jacinta,74234-0006-01
74234-0085,74234-0087,godparent,1,Antônio,João Morais da Silva,74234-0006-02
74234-0085,74234-0088,godparent,1,Antônio,Rosa Antônia Corte,74234-0006-02
74234-0085,74234-0086,parent,1,Antônio,João da Conceição,74234-0006-02
74234-0085,74234-0224,parent,1,Antônio,Josefa Maria,74234-0006-02
74234-0086,74234-0224,spouse,1,João da Conceição,Josefa Maria,74234-0006-02
74234-0086,74234-0085,child,1,João da Conceição,Antônio,74234-0006-02
74234-0224,74234-0086,spouse,1,Josefa Maria,João da Conceição,74234-0006-02
74234-0224,74234-0085,child,1,Josefa Maria,Antônio,74234-0006-02
74234-0087,74234-0085,godchild,1,João Morais da Silva,Antônio,74234-0006-02
74234-0088,74234-0089,spouse,1,Rosa Antônia Corte,José Severiano Barreto,74234-0006-02
74234-0088,74234-0085,godchild,1,Rosa Antônia Corte,Antônio,74234-0006-02
74234-0089,74234-0088,spouse,1,José Severiano Barreto,Rosa Antônia Corte,74234-0006-02
74234-0090,74234-0096,godparent,1,Jerônimo,José Alves da Silva,74234-0006-03
74234-0090,74234-0097,godparent,1,Jerônimo,Leonor Luísa de Portes,74234-0006-03
74234-0090,74234-0091,parent,1,Jerônimo,Manuel de Araújo Gomes,74234-0006-03
74234-0090,74234-0092,parent,1,Jerônimo,Anna Maria de Andrade,74234-0006-03
74234-0090,74234-0093,grandparent,1,Jerônimo,João Francisco Gomes,74234-0006-03
74234-0090,74234-0094,grandparent,1,Jerônimo,Anna Barbosa Cortes,74234-0006-03
74234-0090,74234-0297,grandparent,1,Jerônimo,Balthazar de Andrade,74234-0006-03
74234-0090,74234-0095,grandparent,1,Jerônimo,Francisca Monteira,74234-0006-03
74234-0091,74234-0092,spouse,1,Manuel de Araújo Gomes,Anna Maria de Andrade,74234-0006-03
74234-0091,74234-0090,child,1,Manuel de Araújo Gomes,Jerônimo,74234-0006-03
74234-0091,74234-0093,child,1,Manuel de Araújo Gomes,João Francisco Gomes,74234-0006-03
74234-0091,74234-0094,child,1,Manuel de Araújo Gomes,Anna Barbosa Cortes,74234-0006-03
74234-0092,74234-0091,spouse,1,Anna Maria de Andrade,Manuel de Araújo Gomes,74234-0006-03
74234-0092,74234-0090,child,1,Anna Maria de Andrade,Jerônimo,74234-0006-03
74234-0092,74234-0297,child,1,Anna Maria de Andrade,Balthazar de Andrade,74234-0006-03
74234-0092,74234-0095,child,1,Anna Maria de Andrade,Francisca Monteira,74234-0006-03
74234-0093,74234-0094,spouse,1,João Francisco Gomes,Anna Barbosa Cortes,74234-0006-03
74234-0093,74234-0091,parent,1,João Francisco Gomes,Manuel de Araújo Gomes,74234-0006-03
74234-0093,74234-0090,grandchild,1,João Francisco Gomes,Jerônimo,74234-0006-03
74234-0094,74234-0093,spouse,1,Anna Barbosa Cortes,João Francisco Gomes,74234-0006-03
74234-0094,74234-0091,parent,1,Anna Barbosa Cortes,Manuel de Araújo Gomes,74234-0006-03
74234-0094,74234-0090,grandchild,1,Anna Barbosa Cortes,Jerônimo,74234-0006-03
74234-0297,74234-0095,spouse,1,Balthazar de Andrade,Francisca Monteira,74234-0006-03
74234-0297,74234-0092,parent,1,Balthazar de Andrade,Anna Maria de Andrade,74234-0006-03
74234-0297,74234-0090,grandchild,1,Balthazar de Andrade,Jerônimo,74234-0006-03
74234-0095,74234-0297,spouse,1,Francisca Monteira,Balthazar de Andrade,74234-0006-03
74234-0095,74234-0092,parent,1,Francisca Monteira,Anna Maria de Andrade,74234-0006-03
74234-0095,74234-0090,grandchild,1,Francisca Monteira,Jerônimo,74234-0006-03
74234-0096,74234-0090,godchild,1,José Alves da Silva,Jerônimo,74234-0006-03
74234-0097,74234-0090,godchild,1,Leonor Luísa de Portes,Jerônimo,74234-0006-03
74234-0098,74234-0283,godparent,1,Damásio,João da Silva,74234-0007-01
74234-0098,74234-0101,godparent,1,Damásio,Inês Maria de Jesus,74234-0007-01
74234-0098,74234-0099,parent,1,Damásio,Manuel José Machado,74234-0007-01
74234-0098,74234-0100,parent,1,Damásio,Anna Maria de Menezes,74234-0007-01
74234-0099,74234-0100,spouse,1,Manuel José Machado,Anna Maria de Menezes,74234-0007-01
74234-0099,74234-0098,child,1,Manuel José Machado,Damásio,74234-0007-01
74234-0100,74234-0099,spouse,1,Anna Maria de Menezes,Manuel José Machado,74234-0007-01
74234-0100,74234-0098,child,1,Anna Maria de Menezes,Damásio,74234-0007-01
74234-0283,74234-0098,godchild,1,João da Silva,Damásio,74234-0007-01
74234-0101,74234-0098,godchild,1,Inês Maria de Jesus,Damásio,74234-0007-01
74234-0102,74234-0109,godparent,1,Custódio,João Ribeiro,74234-0007-02
74234-0102,74234-0103,parent,1,Custódio,Inácio Pinto Ribeiro,74234-0007-02
74234-0102,74234-0104,parent,1,Custódio,Anna Inácia da Silva,74234-0007-02
74234-0102,74234-0105,grandparent,1,Custódio,Manoel Pinto de Sucesso,74234-0007-02
74234-0102,74234-0106,grandparent,1,Custódio,Maria Ribeiro,74234-0007-02
74234-0102,74234-0107,grandparent,1,Custódio,Joaquim da Silva Corrêa,74234-0007-02
74234-0102,74234-0108,grandparent,1,Custódio,Inês Fagundes,74234-0007-02
74234-0103,74234-0104,spouse,1,Inácio Pinto Ribeiro,Anna Inácia da Silva,74234-0007-02
74234-0103,74234-0102,child,1,Inácio Pinto Ribeiro,Custódio,74234-0007-02
74234-0103,74234-0105,child,1,Inácio Pinto Ribeiro,Manoel Pinto de Sucesso,74234-0007-02
74234-0103,74234-0106,child,1,Inácio Pinto Ribeiro,Maria Ribeiro,74234-0007-02
74234-0104,74234-0103,spouse,1,Anna Inácia da Silva,Inácio Pinto Ribeiro,74234-0007-02
74234-0104,74234-0102,child,1,Anna Inácia da Silva,Custódio,74234-0007-02
74234-0104,74234-0107,child,1,Anna Inácia da Silva,Joaquim da Silva Corrêa,74234-0007-02
74234-0104,74234-0108,child,1,Anna Inácia da Silva,Inês Fagundes,74234-0007-02
74234-0105,74234-0106,spouse,1,Manoel Pinto de Sucesso,Maria Ribeiro,74234-0007-02
74234-0105,74234-0103,parent,1,Manoel Pinto de Sucesso,Inácio Pinto Ribeiro,74234-0007-02
74234-0105,74234-0102,grandchild,1,Manoel Pinto de Sucesso,Custódio,74234-0007-02
74234-0106,74234-0105,spouse,1,Maria Ribeiro,Manoel Pinto de Sucesso,74234-0007-02
74234-0106,74234-0103,parent,1,Maria Ribeiro,Inácio Pinto Ribeiro,74234-0007-02
74234-0106,74234-0102,grandchild,1,Maria Ribeiro,Custódio,74234-0007-02
74234-0107,74234-0108,spouse,1,Joaquim da Silva Corrêa,Inês Fagundes,74234-0007-02
74234-0107,74234-0104,parent,1,Joaquim da Silva Corrêa,Anna Inácia da Silva,74234-0007-02
74234-0107,74234-0102,grandchild,1,Joaquim da Silva Corrêa,Custódio,74234-0007-02
74234-0108,74234-0107,spouse,1,Inês Fagundes,Joaquim da Silva Corrêa,74234-0007-02
74234-0108,74234-0104,parent,1,Inês Fagundes,Anna Inácia da Silva,74234-0007-02
